"datum_vorstoss_eingang","geschaeftsnummer","grg_nr","vorstoss_bezeichnung","vorstossart_bezeichnung","vorstossart_kennung","sachbegriff_grgeko_1","status","departement","nachname_1","vorname_1","partei_1","ort_1","doc_title_1","doc_link_1"
2024-05-22,"2024/WA 1/1","1","Amtsgelübde der neugewählten Mitglieder des Grossen Rates","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 2/2","2","Amtsgelübde von Regierungsrätin Denise Neuweiler","Wahlgeschäft","WA","17.2 Regierungsrat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 3/3","3","Amtsgelübde von Regierungsrätin Sonja Wiesmann Schätzle","Wahlgeschäft","WA","17.2 Regierungsrat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 4/4","4","Amtsgelübde von Sarah Nobs, Ersatzmitglied Obergericht","Wahlgeschäft","WA","17.3 Richterliche Behörden, Anwaltswesen","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 5/5","5","Amtsgelübde von Fabienne Hanselmann, Ersatzmitglied Verwaltungsgericht","Wahlgeschäft","WA","17.3 Richterliche Behörden, Anwaltswesen","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 6/6","6","Amtsgelübde von Hanna Trippel, Ersatzmitglied Verwaltungsgericht","Wahlgeschäft","WA","17.3 Richterliche Behörden, Anwaltswesen","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 7/7","7","Wahl des Präsidiums des Grossen Rates für das Amtsjahr 2024/2025","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 8/8","8","Wahl des Vizepräsidiums des Grossen Rates für das Amtsjahr 2024/2025","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 9/9","9","Wahl des Präsidiums und des Vizepräsidiums des Regierungsrates für das Amtsjahr 2024/2025","Wahlgeschäft","WA","17.2 Regierungsrat","pendent","Grosser Rat",,,,,"Missiv vom 23.04.2024 (24/WA 9/9)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6082087/Missiv%20vom%2023.04.2024%20(24-WA%209-9).pdf"
2024-05-22,"2024/WA 10/10","10","Wahl der Mitglieder des Ratssekretariates, Stimmenzählenden und Beisitzenden für die Amtsdauer 2024-2028","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 11/11","11","Wahl der Mitglieder und des Präsidiums der Geschäftsprüfungs- und Finanzkommission für die Amtsdauer 2024-2028","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 12/12","12","Wahl der Mitglieder und des Präsidiums der Justizkommission für die Amtsdauer 2024-2028","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 13/13","13","Wahl der Mitglieder und des Präsidiums der Raumplanungskommission für die Amtsdauer 2024-2028","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 14/14","14","Wahl der Mitglieder und des Präsidiums der Kommission für Klima, Energie und Umwelt für die Amtsdauer 2024-2028","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 15/15","15","Wahl der Mitglieder und des Präsidiums der Gesetzgebungs- und Redaktionskommission für die Amtsdauer 2024-2028","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,,
2024-05-22,"2024/WA 16/16","16","Genehmigung der Wahl der Mitglieder des Grossen Rates vom 7. April 2024","Wahlgeschäft","WA","17.1 Grosser Rat","pendent","Grosser Rat",,,,,"Missiv vom 09.04.2024 (20/WA 660/111 - 24/WA 16/16)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6061184/Missiv%20vom%2009.04.2024%20(20-WA%20660-111%20-%2024-WA%2016-16).pdf"
2024-05-22,"2024/GE 1/17","17","Ruhetagsgesetz (RTG)","Gesetz","GE","","pendent","",,,,,"Botschaft vom 07.05.2024 (24/GE 1/17)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6109683/Botschaft%20vom%2007.05.2024%20(24-GE%201-17).pdf"
2024-05-22,"2024/BS 1/18","18","Beschluss des Grossen Rates über einen Nachtragskredit 2024","Beschluss","BS","","pendent","",,,,,"Botschaft vom 07.05.2024 (24/BS 1/18)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6109681/Botschaft%20vom%2007.05.2024%20(24-BS%201-18).pdf"
2024-06-05,"2024/GE 2/19","19","Änderung des Planungs- und Baugesetzes (PBG)","Gesetz","GE","","pendent","",,,,,"Botschaft vom 21.05.2024 (24/GE 2/19)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123168/Botschaft%20vom%2021.05.2024%20(24-GE%202-19).pdf"
2024-06-05,"2024/GE 3/20","20","Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG), der Verordnung des Grossen Rates über die Besoldung des Staatspersonals (BesVO), des Einführungsgesetzes zum Schweizerischen Zivilgesetzbuch (EG ZGB) und des Verantwortlichkeitsgesetzes (VerantwG)","Gesetz","GE","","pendent","",,,,,"Entwurf Regierungsrat Zivil- und Strafrechtspflege (ZSRG) (24/GE 3/20)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123165/Entwurf%20Regierungsrat%20Zivil-%20und%20Strafrechtspflege%20(ZSRG)%20%20(24-GE%203-20).pdf"
2024-06-05,"2024/BS 2/21","21","Beschluss des Grossen Rates über den Nachtragskredit zur Erhöhung des Globalbudgets 2024 der Steuerverwaltung","Beschluss","BS","","pendent","",,,,,"Botschaft vom 21.05.2024 (24/BS 2/21)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123159/Botschaft%20vom%2021.05.2024%20(24-BS%202-21).pdf"
